County,Quarterly,January,February,March,Total,Average,March,Total
"Jefferson County, Texas","5,727","103,901","105,780","106,350","1,659,415,172","1,212",1.01,1.03
"Jim Hogg County, Texas",105,"1,041","1,046","1,053","8,283,755",609,0.74,0.57
"Jim Wells County, Texas",838,"14,587","14,641","14,539","188,765,442",995,1.02,1.05
"Johnson County, Texas","3,195","38,420","38,952","39,501","440,065,580",869,0.98,0.97
"Jones County, Texas",281,"1,970","1,949","1,951","19,237,786",756,0.77,0.77
"Karnes County, Texas",356,"4,841","4,883","4,845","91,894,674","1,456",0.87,0.98
"Kaufman County, Texas","2,046","24,448","24,659","24,689","269,481,910",843,0.91,0.91
"Kendall County, Texas","1,546","14,866","14,934","14,972","185,639,072",957,1.02,1.02
"Kenedy County, Texas",23,503,498,492,"8,824,386","1,364",1,1.06
"Kent County, Texas",24,92,92,92,"1,345,368","1,125",0.4,0.58
"Kerr County, Texas","1,477","15,053","15,352","15,338","152,662,909",770,0.98,0.93
"Kimble County, Texas",148,924,928,923,"6,729,218",560,0.88,0.83
"King County, Texas",15,65,64,64,"679,707",813,0.62,0.62
"Kinney County, Texas",58,544,542,627,"5,538,512",746,0.72,0.59
"Kleberg County, Texas",546,"7,509","7,544","7,569","70,706,257",721,0.73,0.68
"Knox County, Texas",115,644,630,605,"7,382,471",907,0.68,0.75
"Lamar County, Texas","1,167","18,450","18,623","18,791","203,770,159",842,1.01,1.02
"Lamb County, Texas",399,"3,098","3,024","3,023","33,610,199",848,0.89,0.92
"Lampasas County, Texas",410,"3,495","3,547","3,561","30,234,077",658,0.91,0.88
"La Salle County, Texas",174,"2,896","2,771","2,674","66,606,046","1,843",0.88,1
"Lavaca County, Texas",456,"4,521","4,494","4,484","48,808,449",834,0.96,0.97
"Lee County, Texas",393,"6,081","6,489","6,910","87,016,765","1,031",1,1.01
"Leon County, Texas",392,"4,074","4,092","4,082","63,118,132","1,189",0.97,1.03
"Liberty County, Texas","1,115","13,052","13,385","13,585","163,747,071",944,0.86,0.88
"Limestone County, Texas",358,"4,983","5,064","5,115","62,791,102",956,0.75,0.78
"Lipscomb County, Texas",87,"1,029","1,003",952,"10,995,292",850,0.84,0.9
"Live Oak County, Texas",291,"3,155","3,135","3,272","55,053,230","1,329",0.94,0.99
"Llano County, Texas",505,"3,705","3,761","3,807","33,446,642",685,0.97,0.91
"Lubbock County, Texas","7,578","110,035","110,743","110,491","1,133,112,724",789,0.93,0.86
"Lynn County, Texas",198,931,842,833,"12,840,391","1,137",0.67,0.81
"McCulloch County, Texas",240,"2,344","2,246","2,247","24,476,257",826,0.94,0.95
"McLennan County, Texas","5,208","95,293","95,611","95,877","1,103,857,469",888,1,0.98
"McMullen County, Texas",72,351,355,378,"5,211,923","1,110",0.84,0.88
"Madison County, Texas",263,"3,243","3,241","3,261","30,273,880",717,0.87,0.82
"Marion County, Texas",146,"1,525","1,500","1,544","14,199,627",717,0.93,0.93
"Martin County, Texas",195,"1,918","1,966","1,946","28,129,544","1,113",0.9,0.94
"Mason County, Texas",150,744,770,762,"6,170,807",626,0.85,0.82
"Matagorda County, Texas",780,"8,053","8,108","8,220","139,760,666","1,323",0.9,0.98
"Maverick County, Texas",806,"11,876","11,793","11,893","82,172,670",533,0.77,0.63
"Medina County, Texas",778,"6,756","6,848","6,846","60,606,259",684,0.8,0.76
"Menard County, Texas",51,223,222,217,"1,302,372",454,0.61,0.51
"Midland County, Texas","5,865","97,580","98,478","98,210","2,106,077,033","1,652",1.08,1.1
"Milam County, Texas",426,"3,851","3,843","3,853","41,396,955",827,0.87,0.9
"Mills County, Texas",120,884,881,889,"6,997,425",608,0.83,0.78
"Mitchell County, Texas",148,954,962,953,"12,701,234","1,022",0.58,0.67
"Montague County, Texas",441,"3,581","3,610","3,592","39,877,477",853,0.88,0.92
"Montgomery County, Texas","12,015","160,267","161,151","161,161","2,715,959,251","1,299",0.99,1.04
"Moore County, Texas",490,"9,290","9,332","9,496","113,239,338",929,1,1
"Morris County, Texas",215,"3,002","3,076","3,092","45,065,665","1,134",0.97,1.04
"Motley County, Texas",42,209,212,197,"1,694,152",633,0.76,0.8
"Nacogdoches County, Texas","1,330","16,975","17,030","17,115","152,065,756",686,0.89,0.83
"Navarro County, Texas",903,"13,745","13,799","13,269","133,982,703",758,0.94,0.94
"Newton County, Texas",108,683,654,646,"7,388,927",860,0.6,0.69
"Nolan County, Texas",354,"4,529","4,486","4,524","50,501,073",861,0.87,0.86
"Nueces County, Texas","8,117","133,933","134,208","134,587","1,650,373,353",946,0.98,0.97
"Ochiltree County, Texas",365,"3,683","3,689","3,651","46,831,357",980,0.96,1
"Oldham County, Texas",75,666,640,654,"6,597,992",777,0.78,0.78
"Orange County, Texas","1,315","18,944","19,110","18,839","279,637,147","1,134",0.96,1.01
"Palo Pinto County, Texas",640,"6,775","6,828","6,893","82,376,102",927,0.93,0.94
"Panola County, Texas",513,"7,477","7,349","7,368","94,500,959",983,1,1.03
"Parker County, Texas","2,875","28,100","28,337","28,738","315,074,920",854,0.98,0.97
"Parmer County, Texas",285,"5,002","4,925","4,860","55,348,481",864,0.99,1.03
"Pecos County, Texas",408,"4,068","3,980","4,052","56,675,611","1,081",0.81,0.86
"Polk County, Texas",757,"8,461","8,529","8,577","85,030,345",767,0.87,0.86
"Potter County, Texas","3,890","61,013","61,530","61,499","687,044,285",861,0.95,0.92
"Presidio County, Texas",148,"1,285","1,290","1,271","9,934,706",596,0.69,0.51
"Rains County, Texas",199,"1,519","1,558","1,566","12,561,028",624,0.88,0.87
"Randall County, Texas","2,422","27,468","27,668","27,647","325,890,787",908,1,1.02
"Reagan County, Texas",133,"1,542","1,575","1,588","32,801,141","1,609",0.93,1
"Real County, Texas",90,533,515,521,"3,230,937",475,0.84,0.78
"Red River County, Texas",214,"1,872","1,889","1,889","17,107,569",699,0.85,0.87
"Reeves County, Texas",389,"7,327","7,547","7,447","133,925,878","1,385",0.99,1.04
"Refugio County, Texas",152,"1,599","1,601","1,612","18,012,404",864,0.82,0.85
"Roberts County, Texas",28,142,138,141,"2,438,885","1,337",0.68,0.87
"Robertson County, Texas",303,"3,247","3,283","3,340","39,736,034",929,0.9,0.93
"Rockwall County, Texas","2,571","27,085","27,347","27,667","279,775,286",786,1.02,1
"Runnels County, Texas",246,"1,934","1,916","1,914","18,327,526",734,0.8,0.81
"Rusk County, Texas",795,"10,800","10,871","10,884","125,298,087",888,0.95,0.98
"Sabine County, Texas",168,"1,847","1,883","1,873","17,940,398",739,0.9,0.91
"San Augustine County, Texas",142,"1,683","1,780","1,773","20,295,348",894,0.94,0.98
"San Jacinto County, Texas",216,"1,121","1,146","1,129","9,369,062",637,0.62,0.58
"San Patricio County, Texas","1,048","14,470","14,363","14,288","189,788,485","1,016",0.92,0.96
"San Saba County, Texas",169,"1,484","1,464","1,413","16,736,376",886,0.87,0.9
"Schleicher County, Texas",68,567,560,556,"7,578,439","1,039",0.8,0.91
"Scurry County, Texas",449,"4,787","4,783","4,788","77,585,167","1,247",0.88,0.94
"Shackelford County, Texas",149,"1,088","1,087","1,065","16,115,409","1,148",0.97,1.02
"Shelby County, Texas",520,"6,905","6,997","6,956","66,850,340",740,0.98,0.97
"Sherman County, Texas",91,689,736,725,"8,571,389",920,0.84,0.89
"Smith County, Texas","6,246","88,917","89,588","89,996","1,012,655,013",870,1.02,1
"Somervell County, Texas",208,"2,918","2,874","2,894","66,248,504","1,760",0.92,1.04
"Starr County, Texas",543,"9,298","9,300","9,332","49,495,500",409,0.71,0.49
"Stephens County, Texas",276,"2,644","2,672","2,667","24,497,145",708,0.93,0.91
"Sterling County, Texas",75,344,359,352,"4,301,535",941,0.8,0.88
"Stonewall County, Texas",51,238,242,238,"2,392,778",769,0.61,0.59
"Sutton County, Texas",166,"1,502","1,516","1,512","31,047,843","1,582",0.94,1.03
"Swisher County, Texas",168,"1,112","1,113","1,101","9,660,487",670,0.69,0.68
"Tarrant County, Texas","44,703","792,231","796,129","796,087","11,962,521,184","1,158",1.03,1.03
"Taylor County, Texas","3,569","51,606","52,224","52,541","551,323,364",814,0.97,0.96
"Terrell County, Texas",37,119,131,129,"883,600",538,0.56,0.37
"Terry County, Texas",343,"2,662","2,651","2,615","32,528,385",947,0.84,0.89
"Throckmorton County, Texas",43,180,179,180,"1,477,855",633,0.55,0.6
"Titus County, Texas",794,"12,627","12,723","12,749","119,510,595",724,0.95,0.92
"Tom Green County, Texas","2,800","38,678","39,109","38,932","426,107,834",842,0.96,0.95
"Travis County, Texas","42,654","629,608","637,118","639,292","11,598,917,878","1,404",0.98,1
"Trinity County, Texas",172,"1,520","1,548","1,558","12,790,706",638,0.83,0.8
"Tyler County, Texas",275,"2,202","2,279","2,273","18,494,288",632,0.68,0.63
"Upshur County, Texas",532,"5,206","5,201","5,197","50,501,458",747,0.87,0.87
"Upton County, Texas",90,"1,119","1,100","1,115","26,701,334","1,848",0.81,0.96
"Uvalde County, Texas",653,"6,620","6,685","6,812","52,384,734",601,0.83,0.72
"Val Verde County, Texas",799,"12,922","12,949","13,135","98,413,861",582,0.85,0.7
"Van Zandt County, Texas",977,"8,561","8,666","8,768","78,834,007",700,0.92,0.92
"Victoria County, Texas","2,378","32,543","32,675","32,689","394,231,789",929,0.98,0.99
"Walker County, Texas","1,017","12,000","12,257","12,198","102,961,717",652,0.57,0.46
"Waller County, Texas",816,"13,364","13,490","13,512","160,386,636",917,0.86,0.88
"Ward County, Texas",362,"5,399","5,497","5,446","95,540,532","1,349",1.02,1.06
"Washington County, Texas",919,"11,808","11,865","11,787","115,620,151",752,0.93,0.92
"Webb County, Texas","5,436","80,277","80,296","80,354","645,027,660",618,0.92,0.8
"Wharton County, Texas","1,116","12,721","12,955","13,075","132,233,071",787,0.96,0.96
"Wheeler County, Texas",187,"1,338","1,372","1,350","16,813,258",956,0.81,0.88
"Wichita County, Texas","3,110","43,570","43,563","43,481","444,848,583",786,0.94,0.92
"Wilbarger County, Texas",301,"3,437","3,416","3,377","35,277,144",796,0.68,0.72
"Willacy County, Texas",261,"2,455","2,521","2,568","22,129,822",677,0.79,0.75
"Williamson County, Texas","11,450","151,722","152,541","152,913","2,595,653,280","1,310",1.01,1.05
"Wilson County, Texas",723,"6,339","6,391","6,360","65,122,074",787,0.85,0.85
"Winkler County, Texas",213,"2,910","2,929","2,945","56,000,254","1,471",0.98,1.04
"Wise County, Texas","1,367","16,052","16,200","16,290","195,189,772",928,0.93,0.92
"Wood County, Texas",834,"8,201","8,284","8,253","76,184,437",711,0.95,0.94
"Yoakum County, Texas",271,"2,826","2,747","2,806","58,224,507","1,604",0.91,1.02
"Young County, Texas",558,"5,360","5,412","5,432","58,285,155",830,0.94,0.95
"Zapata County, Texas",156,"2,604","2,578","2,589","37,254,193","1,106",0.84,0.88
"Zavala County, Texas",131,"1,563","1,536","1,530","16,011,349",798,0.74,0.81
"Beaver County, Utah",191,"2,085","2,106","2,107","17,497,772",641,0.87,0.83
"Box Elder County, Utah","1,291","18,585","18,443","18,605","187,859,032",779,1.02,1.02
"Cache County, Utah","3,559","45,906","46,205","46,505","421,845,832",702,0.96,0.93
"Carbon County, Utah",499,"6,410","6,427","6,428","75,148,483",900,0.9,0.94
"Daggett County, Utah",28,119,124,134,"957,092",586,0.52,0.45
"Davis County, Utah","8,558","99,994","100,563","101,159","1,107,875,010",847,0.92,0.86
"Duchesne County, Utah",712,"5,434","5,441","5,452","72,190,058","1,020",0.83,0.92
"Emery County, Utah",186,"2,323","2,322","2,557","28,535,271",914,0.89,0.94
"Garfield County, Utah",201,"1,257","1,336","1,556","11,334,594",630,0.89,0.83
"Grand County, Utah",529,"3,598","4,006","4,722","31,285,129",586,0.96,0.86
"Iron County, Utah","1,578","15,041","15,104","15,153","116,633,490",594,0.92,0.85
"Juab County, Utah",248,"2,841","2,907","2,911","26,552,630",708,0.92,0.94
"Kane County, Utah",292,"2,516","2,544","2,666","18,895,199",564,0.94,0.86
"Millard County, Utah",325,"3,618","3,612","3,644","37,747,992",801,0.92,0.98
"Morgan County, Utah",340,"1,985","1,992","1,989","22,433,031",868,0.91,0.98
"Piute County, Utah",27,150,152,152,"1,001,987",509,0.63,0.63
"Rich County, Utah",101,469,456,476,"2,990,193",493,0.82,0.74
"Salt Lake County, Utah","46,497","604,902","607,733","609,873","9,027,416,267","1,143",1.01,1.01
"San Juan County, Utah",268,"2,380","2,451","2,600","22,060,526",685,0.72,0.71
"Sanpete County, Utah",537,"5,194","5,266","5,343","40,084,869",585,0.76,0.71
"Sevier County, Utah",603,"7,106","7,070","7,131","67,814,819",734,0.94,0.95
"Summit County, Utah","2,885","28,628","28,715","28,229","332,726,919",897,1.07,1.07
"Tooele County, Utah","1,053","11,665","11,961","12,134","113,113,130",730,0.88,0.8
"Uintah County, Utah","1,144","9,677","9,640","9,714","110,583,369",879,0.89,0.91
"Utah County, Utah","17,012","215,019","216,705","217,943","2,723,685,227",967,1.03,1.05
"Wasatch County, Utah","1,132","8,041","8,001","7,899","86,671,112",835,0.96,0.96
"Washington County, Utah","5,975","58,649","59,403","59,849","548,933,714",712,1.02,1.01
"Wayne County, Utah",114,636,634,706,"5,184,587",605,0.87,0.81
"Weber County, Utah","6,039","88,017","87,744","88,212","935,093,427",817,0.96,0.95
"Addison County, Vermont","1,384","12,684","12,579","12,652","157,204,669",957,1.02,1.02
"Bennington County, Vermont","1,486","14,949","14,892","15,023","158,859,198",817,1.01,0.99
"Caledonia County, Vermont",920,"8,280","8,279","8,366","84,561,909",783,0.94,0.93
"Chittenden County, Vermont","6,849","84,312","84,536","84,351","1,206,945,962","1,100",0.98,0.97
"Essex County, Vermont",133,661,661,683,"5,254,090",605,0.75,0.64
"Franklin County, Vermont","1,184","13,230","13,197","13,250","147,553,581",858,0.88,0.82
"Grand Isle County, Vermont",224,770,758,737,"7,237,031",737,0.83,0.85
"Lamoille County, Vermont","1,123","10,847","10,835","10,790","106,378,489",756,1.01,0.99
"Orange County, Vermont",764,"5,561","5,507","5,522","57,467,474",799,0.86,0.86
"Orleans County, Vermont",833,"8,884","8,825","8,830","81,766,444",711,0.95,0.92
"Rutland County, Vermont","2,220","23,185","23,248","23,049","275,223,267",914,1,1
"Washington County, Vermont","2,444","25,402","25,543","25,590","330,359,050",996,0.9,0.86
"Windham County, Vermont","1,833","19,449","19,430","19,156","203,494,871",809,1.02,1.01
"Windsor County, Vermont","2,261","18,528","18,405","18,156","201,418,490",844,0.93,0.86
"Unknown Or Undefined, Vermont",746,"8,340","8,475","8,725","77,800,588",703,1.16,1.14
"Accomack County, Virginia","1,063","10,044","10,102","10,246","94,957,961",721,0.92,0.86
"Albemarle County, Virginia","3,811","37,990","37,936","38,472","474,563,251",957,0.79,0.67
"Alleghany County, Virginia",307,"2,634","2,598","2,613","22,650,219",666,0.82,0.83
"Amelia County, Virginia",402,"1,964","2,019","2,000","17,737,013",684,0.94,0.92
"Amherst County, Virginia",760,"6,039","6,093","6,172","59,204,048",746,0.91,0.9
"Appomattox County, Virginia",498,"2,387","2,382","2,428","16,405,221",526,0.88,0.82
"Arlington County, Virginia","9,148","137,933","138,654","139,506","3,570,295,877","1,980",0.91,0.91
"Augusta County, Virginia","1,828","23,139","23,268","23,600","264,936,726",873,0.98,0.99
"Bath County, Virginia",188,"1,715","1,744","1,714","18,399,922",821,0.97,0.99
"Bedford County, Virginia","2,229","15,487","15,393","15,483","154,328,526",768,0.98,0.98
"Bland County, Virginia",114,"1,380","1,401","1,401","17,013,080",939,0.83,0.89
"Botetourt County, Virginia",839,"9,636","9,605","9,736","104,701,187",834,1.01,1.02
"Brunswick County, Virginia",615,"2,574","2,606","2,618","22,767,387",674,0.87,0.86
"Buchanan County, Virginia",511,"4,849","4,887","4,959","68,224,309","1,071",0.9,0.98
"Buckingham County, Virginia",427,"1,920","1,913","1,916","17,960,247",721,0.7,0.7
"Campbell County, Virginia","1,495","14,758","14,783","14,896","203,890,499","1,059",1.01,1.06
"Caroline County, Virginia",577,"4,944","3,811","3,857","38,163,776",698,0.81,0.77
"Carroll County, Virginia",601,"4,686","4,695","4,721","36,208,137",593,0.9,0.87
"Charles City County, Virginia",211,"1,306","1,299","1,268","14,834,261",884,0.95,0.96
"Charlotte County, Virginia",338,"1,995","2,022","1,986","17,236,967",663,0.83,0.82
"Chesterfield County, Virginia","9,541","114,759","114,010","113,583","1,388,708,216",936,0.99,0.98
"Clarke County, Virginia",448,"3,080","3,120","3,099","36,284,607",900,0.94,0.98
"Craig County, Virginia",111,428,432,451,"4,077,857",718,0.74,0.79
"Culpeper County, Virginia","1,413","12,519","12,414","12,544","130,181,697",802,0.93,0.91
"Cumberland County, Virginia",211,773,792,784,"6,067,307",596,0.74,0.72
"Dickenson County, Virginia",296,"2,386","2,430","2,455","27,030,352",858,0.87,0.93
"Dinwiddie County, Virginia",448,"6,246","6,184","6,114","69,321,189",863,0.83,0.83
"Essex County, Virginia",342,"3,104","3,089","3,144","25,471,136",630,1,0.97
"Fairfax County, Virginia","37,326","527,564","528,161","528,948","13,038,782,694","1,899",1.02,1.04
"Fauquier County, Virginia","2,428","17,355","17,299","17,607","204,753,424",904,0.94,0.89
"Floyd County, Virginia",474,"2,666","2,669","2,762","19,407,730",553,0.95,0.9
"Fluvanna County, Virginia",582,"2,830","2,877","2,916","28,997,644",776,0.79,0.78
"Franklin County, Virginia","1,512","12,167","12,281","12,537","100,048,693",624,0.98,0.95
"Frederick County, Virginia","1,955","26,546","26,585","26,827","330,331,180",953,0.97,0.96
"Giles County, Virginia",354,"3,605","3,626","3,665","40,253,448",853,0.94,0.98
"Gloucester County, Virginia",964,"7,239","7,235","7,276","57,737,817",613,0.91,0.84
"Goochland County, Virginia",809,"15,067","15,281","15,338","508,807,224","2,570",1.07,1.13
"Grayson County, Virginia",391,"2,083","2,112","2,151","14,330,687",521,0.8,0.74
"Greene County, Virginia",501,"2,755","2,805","2,852","23,646,045",649,0.9,0.86
"Greensville County, Virginia",215,"2,758","2,692","2,654","31,038,794",884,0.72,0.76
"Halifax County, Virginia","1,017","9,808","9,762","9,945","92,002,147",719,0.96,0.97
"Hanover County, Virginia","3,840","47,060","46,950","47,791","507,729,416",826,1.06,1.05
"Henrico County, Virginia","11,880","170,714","171,111","171,640","2,583,404,079","1,161",1.06,1.07
"Henry County, Virginia","1,701","13,544","13,541","13,728","112,295,186",635,1.01,0.98
"Highland County, Virginia",94,293,300,293,"2,084,775",543,0.74,0.7
"Isle of Wight County, Virginia",815,"9,611","9,573","9,582","121,465,841",974,1.02,1.03
"James City County, Virginia","1,968","24,624","23,757","25,044","248,317,235",780,1,0.98
"King and Queen County, Virginia",163,763,762,769,"7,536,180",758,0.85,0.87
"King George County, Virginia",616,"5,566","5,595","5,615","80,014,435","1,101",0.56,0.42
"King William County, Virginia",425,"3,239","3,221","3,220","37,307,375",889,0.94,0.98
"Lancaster County, Virginia",468,"3,817","3,845","3,892","34,435,949",688,1.03,1.02
"Lee County, Virginia",541,"2,588","2,598","2,631","18,240,548",538,0.74,0.63
"Loudoun County, Virginia","12,580","143,464","143,021","144,752","2,536,016,761","1,357",0.99,1
"Louisa County, Virginia",961,"7,609","7,789","8,152","109,322,692","1,071",0.98,1.02
"Lunenburg County, Virginia",295,"1,701","1,673","1,694","15,614,587",711,0.81,0.81
"Madison County, Virginia",332,"2,417","2,379","2,372","21,821,050",703,0.94,0.93
"Mathews County, Virginia",205,"1,131","1,135","1,179","7,703,146",516,0.88,0.83
"Mecklenburg County, Virginia","1,093","9,551","9,630","9,617","81,876,479",656,0.98,0.96
"Middlesex County, Virginia",368,"2,212","2,184","2,174","18,981,198",667,0.8,0.78
"Montgomery County, Virginia","2,281","27,950","29,031","29,027","280,791,788",753,0.8,0.7
"Nelson County, Virginia",546,"3,407","3,401","3,451","28,153,199",633,0.96,0.93
"New Kent County, Virginia",474,"3,174","3,142","3,150","30,345,562",740,0.9,0.87
"Northampton County, Virginia",571,"3,024","2,930","3,036","21,440,129",550,0.9,0.83
"Northumberland County, Virginia",348,"1,795","1,842","1,884","19,572,784",818,0.92,0.93
"Nottoway County, Virginia",412,"2,985","2,958","3,023","24,070,364",620,0.61,0.54
"Orange County, Virginia",914,"7,523","7,565","7,736","74,035,695",749,0.91,0.91
"Page County, Virginia",573,"3,874","3,865","3,967","31,052,727",612,0.89,0.85
"Patrick County, Virginia",542,"3,590","3,560","3,628","24,690,814",529,0.95,0.91
"Pittsylvania County, Virginia","1,369","9,351","9,326","9,339","85,745,609",706,0.9,0.91
"Powhatan County, Virginia",817,"5,262","5,340","5,533","51,916,073",743,0.9,0.88
"Prince Edward County, Virginia",685,"7,149","7,200","7,211","60,730,889",650,0.91,0.84
"Prince George County, Virginia",581,"8,354","8,402","8,548","90,217,030",823,0.66,0.53
"Prince William County, Virginia","9,541","101,609","101,357","102,568","1,156,807,843",874,0.92,0.85
"Pulaski County, Virginia",777,"12,131","12,205","12,236","134,874,025",851,1,1.02
"Rappahannock County, Virginia",252,"1,019","1,022","1,061","9,551,816",711,0.9,0.87
"Richmond County, Virginia",189,"1,766","1,771","1,791","16,768,192",726,0.73,0.72
"Roanoke County, Virginia","2,521","33,919","33,918","34,076","369,190,839",836,1.02,1.02
"Rockbridge County, Virginia",484,"5,134","5,063","5,228","40,853,705",611,0.98,0.94
"Rockingham County, Virginia","1,824","29,474","29,593","29,726","329,916,505",857,1.04,1.06
"Russell County, Virginia",585,"5,215","5,207","5,195","53,891,196",796,0.92,0.93
"Scott County, Virginia",398,"3,643","3,641","3,748","28,365,918",593,0.88,0.84
"Shenandoah County, Virginia","1,189","11,856","11,887","11,966","121,360,549",784,1,0.99
"Smyth County, Virginia",876,"8,976","8,939","8,974","78,884,148",677,0.89,0.88
"Southampton County, Virginia",318,"2,103","2,120","2,188","19,615,407",706,0.7,0.7
"Spotsylvania County, Virginia","3,160","29,233","29,036","29,264","289,477,094",763,0.97,0.95
"Stafford County, Virginia","2,801","32,864","33,015","33,256","393,238,964",915,0.88,0.78
"Surry County, Virginia",105,"1,612","1,655","1,601","44,655,522","2,117",0.87,1.04
"Sussex County, Virginia",258,"2,333","2,314","2,297","22,390,804",744,0.76,0.74
"Tazewell County, Virginia","1,055","11,182","11,245","11,382","105,832,164",722,0.92,0.94
"Warren County, Virginia","1,054","10,585","10,528","10,580","101,307,539",738,0.99,0.96
"Washington County, Virginia","1,492","16,608","16,685","16,775","150,774,597",695,0.99,0.98
"Westmoreland County, Virginia",380,"2,245","2,286","2,384","17,607,002",588,0.85,0.8
"Wise County, Virginia",890,"8,175","8,150","8,248","64,270,942",604,0.82,0.75
"Wythe County, Virginia",847,"8,901","8,775","8,808","78,205,691",681,0.93,0.92
"York County, Virginia","1,547","16,679","16,617","16,798","151,635,246",699,0.94,0.87
"Alexandria City, Virginia","6,238","69,406","69,369","69,229","1,257,436,396","1,395",0.9,0.82
"Bristol City, Virginia",579,"7,238","7,144","7,234","59,534,547",636,0.96,0.89
"Buena Vista City, Virginia",130,"2,118","2,188","2,185","18,043,490",641,1.01,0.98
"Charlottesville City, Virginia","2,466","27,700","28,063","28,236","406,378,057","1,116",0.83,0.82
"Chesapeake City, Virginia","6,238","85,176","85,045","85,541","956,259,470",863,0.99,0.98
"Colonial Heights City, Virginia",725,"9,372","9,340","9,355","68,849,989",566,1.03,0.95
"Covington City, Virginia",244,"3,462","3,502","3,502","47,464,607","1,047",1.04,1.07
"Danville City, Virginia","1,823","21,543","21,245","21,352","202,992,474",730,1,0.99
"Emporia City, Virginia",260,"3,136","3,165","3,127","23,871,200",584,1.12,1.08
"Fairfax City, Virginia","1,680","17,623","17,847","18,002","251,712,231","1,086",1.08,1.05
"Falls Church City, Virginia",993,"9,571","9,523","9,623","150,030,754","1,206",0.93,0.84
"Franklin City, Virginia",311,"3,411","3,402","3,447","24,174,433",544,0.95,0.89
"Fredericksburg City, Virginia","1,618","20,503","20,491","20,532","232,078,211",870,0.99,0.97
"Galax City, Virginia",385,"5,012","5,026","5,016","38,549,992",591,1.02,1
"Hampton City, Virginia","2,653","38,069","38,337","38,370","405,853,906",816,0.84,0.73
"Harrisonburg City, Virginia","1,649","24,579","24,750","24,719","219,968,432",686,0.91,0.83
"Hopewell City, Virginia",499,"6,299","6,335","6,339","94,039,393","1,144",0.96,1
"Lexington City, Virginia",267,"3,176","3,262","3,304","33,329,040",790,0.87,0.84
"Lynchburg City, Virginia","2,686","47,285","47,965","48,041","536,379,141",864,1.07,1.06
"Manassas City, Virginia","1,551","19,530","19,702","19,941","327,385,563","1,277",1.03,1.02
"Manassas Park City, Virginia",317,"2,799","2,821","2,819","33,036,995",903,0.92,0.91
"Martinsville City, Virginia","1,028","7,487","7,548","7,541","60,239,960",616,0.98,0.94
"Newport News City, Virginia","3,861","85,538","85,837","86,086","1,204,428,866","1,080",0.98,0.98
"Norfolk City, Virginia","6,043","99,754","100,655","101,440","1,318,835,125","1,008",0.85,0.79
"Norton City, Virginia",229,"2,985","2,977","2,966","28,125,086",727,1.03,1
"Petersburg City, Virginia",904,"10,703","10,768","10,831","106,550,146",761,0.98,0.96
"Poquoson City, Virginia",240,"1,295","1,255","1,274","9,346,233",564,0.84,0.75
"Portsmouth City, Virginia","1,788","25,025","25,251","25,364","281,616,174",859,0.66,0.55
"Radford City, Virginia",315,"3,322","3,600","3,587","38,272,522",840,0.71,0.66
"Richmond City, Virginia","7,920","114,416","116,069","115,938","2,068,203,137","1,378",0.86,0.9
"Roanoke City, Virginia","3,365","57,468","57,353","57,415","679,157,653",910,1.03,1.02
"Salem City, Virginia","1,019","14,960","14,994","15,223","183,170,147",936,0.92,0.88
"Staunton City, Virginia",834,"8,335","8,455","8,501","73,443,414",670,0.89,0.82
"Suffolk City, Virginia","1,836","25,106","25,127","25,173","287,804,551",881,0.94,0.88
"Virginia Beach City, Virginia","12,363","146,346","146,729","147,588","1,564,968,367",820,0.98,0.96
"Waynesboro City, Virginia",739,"8,178","8,172","8,229","77,878,837",731,1.04,1.02
"Williamsburg City, Virginia",485,"8,998","9,025","9,373","79,453,624",669,0.86,0.7
"Winchester City, Virginia","1,481","22,554","22,842","22,813","259,106,502",877,1.05,0.99
"Unknown Or Undefined, Virginia","30,738","127,265","129,676","130,643","2,976,470,764","1,772",1.16,1.15
"Adams County, Washington",782,"5,546","5,551","5,787","55,694,624",761,0.91,0.87
"Asotin County, Washington",584,"5,057","5,050","5,084","48,359,964",735,0.95,0.92
"Benton County, Washington","5,790","75,346","73,619","76,142","1,043,750,702","1,070",1.01,0.98
"Chelan County, Washington","3,275","33,836","33,346","34,033","338,522,705",772,0.98,0.91
"Clallam County, Washington","2,267","14,877","14,797","15,097","124,835,711",643,0.78,0.62
"Clark County, Washington","15,026","134,378","133,905","134,991","1,784,810,065","1,021",0.98,0.94
"Columbia County, Washington",210,860,847,829,"7,085,106",645,0.72,0.62
"Cowlitz County, Washington","2,931","32,044","31,904","32,306","406,570,016",975,0.98,0.97
"Douglas County, Washington","1,171","8,830","8,663","8,887","74,048,070",648,0.94,0.81
"Ferry County, Washington",236,819,752,781,"6,016,133",590,0.57,0.44
"Franklin County, Washington","2,657","24,816","24,444","25,562","254,448,380",785,0.94,0.86
"Garfield County, Washington",64,195,193,190,"1,861,058",743,0.36,0.27
"Grant County, Washington","3,110","27,650","27,942","28,390","267,780,190",736,0.91,0.8
"Grays Harbor County, Washington","2,202","16,058","15,967","16,214","154,761,438",740,0.84,0.75
"Island County, Washington","1,994","11,769","11,668","12,015","104,922,166",683,0.85,0.72
"Jefferson County, Washington","1,094","6,291","6,208","6,348","53,455,283",655,0.84,0.7
"King County, Washington","89,117","1,232,909","1,224,728","1,240,303","30,540,449,429","1,906",1.03,1.05
